"                  Sri Ramakrishna Institute of Technology [SRIT], Coimbatore  "

"                  Sri Sairam Engineering College, Chennai  "

"                  Sri Venkateswara College of Engineering [SVCE], Sriperumbudur   "

"                  SRM University (Ramapuram Campus), Chennai  "

"                  SRM University, Chennai (Kattankulathur Campus)  "

"                  SSM College of Engineering and Technology, Baramulla  "

"                  St Joseph's Institute of Technology, Chennai  "

"                  St. Francis Institute of Technology [SFIT], Mumbai  "

"                  St. John College Of Engineering And Technology [SJCET], Palghar  "

"                  St. Joseph's College of Engineering, Chennai  "

"                  St. Thomas' College of Engineering & Technology [STCET], Kolkata  "

"                  St. Xavier's College, Kolkata  "

"                  St. Xavier's College, Palayamkottai  "

"                  Sydenham Institute of Management Studies, Research and Entrepreneurship Education, Mumbai  "

                  Symbiosis Center for Distance Learning [SCDL]

"                  Symbiosis Centre for Management Studies [SCMS], Pune  "

"                  Symbiosis Institute of Business Management [SIBM], Pune  "

"                  Symbiosis Institute of International Business [SIIB], Pune  "

"                  TERI University, New Delhi  "

"                  Thapar University, Patiala  "

"                  Theem College of Engineering, Palghar  "

"                  TIT Group of Institutions, Bhopal  "

"                  Trident Group of Institutions, Bhubaneshwar  "

"                  Trinity Institute of Professional Studies [TIPS], New Delhi  "

"                  United College of Engineering & Research [UCER], Allahabad  "

"                  University Institute of Engineering and Technology [UIET], Kurukshetra  "

"                  University of  Petroleum & Energy Studies [UPES], Dehradun  "

                  University of Lucknow

                  University of Mysore

"                  University Of North Bengal, Darjeeling  "

"                  University School of Information & Communication Technology [USICT], IP University  "

"                  University Visvesvaraya College of Engineering [UVCE], Bengaluru  "

"                  Vasavi College of Engineering [VCE], Hyderabad  "

"                  VELS University, Chennai  "

"                  Versatile Business School, Chennai  "

"                  vesit, Chembur, Mumbai, Maharashtra, India  "

"                  VG Vaze College, Mumbai  "

"                  Vidya College of Engineering [VCE], Meerut  "

"                  Vidyalankar Institute of Technology [VIT], Mumbai  "

"                  VIT University, Vellore  "

"                  Vivekananda Institute of Professional Studies [VIPS], New Delhi  "

"                  VPM RZ Shah College of Arts, Science & Commerce  "

"                  VSM Institute of Aerospace Engineering and Technology, Bengaluru  "

"                  Welingkar Institute of Management Development & Research, Mumbai  "

"                  Zakir Husain Delhi College, New Delhi  "
